Titulo de revista,Área,Temática,Titulo del libro,Abstract,Resumen,Link inicial,Link articulo
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",ZYMOGRAM PATTERNS OF EXTRACELLULAR LACCASES OF Pleurotus SPECIES GROWN ON NON-INDUCER AGAR MEDIUM,"Zymogram patterns of extracellular laccases of ten strains of Pleurotus grown on agar without addition of inducers, using 2.6-dimethoxyphenol, ρ-anisidine and o-tolidine as substrates, were obtained. Zymogram patterns were only similar for strains within same species, independently of the substrate used, six strains of P. ostreatus and one strain of P. ostreatus var. florida showed three isoenzymes, two strains of P. pulmonarius showed two isoenzymes and one strain of P. cornucopiae also showed two isoenzymes but in a different position in comparison to the other strains. These results showed that Pleurotus species produce a basal level of laccase activity and the number of extracellular laccase isoenzymes is species dependent",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1588/744
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos","ISOLATION, MOLECULAR AND FERMENTATIVE CHARACTERIZATION OF A YEAST USED IN ETHANOL PRODUCTION DURING MEZCAL ELABORATION","Numerous ecological studies have been conducted over the years to understand the dynamics, quantification, and composition of the microflora responsible for spontaneous fermentation. Among them, yeasts are microorganisms that exert key processes and are responsible for alcoholic fermentation. In the present study, we isolated and characterized molecularly two yeasts by RFLP (Restriction Fragment Length Polymorphisms) in which we compared the restriction patterns of different genomic regions corresponding to the ribosomal DNA. Experimental design (ED) was based on the Response Surface Methodology (MSR) used to design a suitable culture medium for the production of Mezcal using as substrate an Agave cupreata extract juice and a LEVM yeast strain. We found by RFLP two Saccharomyces cerevisiae yeasts strains (LEVM y LEVZ). In ED for the LEVM the variables selected such as the pH, initial substrate concentration, and temperature were operating levels as close as possible to the original process, these preliminary results show the importance of using molecular techniques for the characterization of yeast strains used in the beverage industry and the use of ED allowed establish the fermentation process conditions.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1614/749
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos","ADVANCES IN THE PHYTOCHEMISTRY OF Cuphea aequipetala, C. aequipetala var. hispida and C. lanceolata: EXTRACTION AND QUANTIFICATION OF PHENOLIC COMPOUNDS AND ANTIOXIDANT ACTIVITY","Cuphea aequipetala and Cuphea lanceolata native to Mexico are used in folk medicine. Extraction procedure standardization was performed and the amount of total phenolic compounds and flavonoids was determined in methanol extracts (obtained by stirring for 24 h) from various organs of C. aequipetala, C. aequipetala var. hispida and C. lanceolata. The antioxidant properties of extracts were compared using in vitro free radical-scavenging assays (1,1-diphenyl-2-picrylhydrazyl (DPPH˙+) and 2,2’-azinobis( 3-ethylbenzothiazoline-6-sulphonic acid (ABTS˙+)) and the reducing power of phosphomolybdenum (PPM). A significant correlation was found between antioxidant activity and the amount of antioxidant components. Flowers of C. lanceolata showed the highest concentration of phenolic compounds (62.79±0.05 mg gallic acid equivalents (GAE)/g dry weight (DW) and the highest content of flavonoids was found in leaves of C. aequipetala (196.83±2.9 mg quercetin equivalents (QE)/g DW). The highest free radical-scavenging activity against DPPH˙+was found in leaves of C. aequipetala var. hispida (173.33±2.12µmol trolox/g DW), for ABTS˙+in flowers of C. aequipetala (541.10±2.32µmol trolox/g DW) and for PPM in leaves of C. aequipetala (1186.25±3.17µmol trolox/g DW). Qualitative analysis indicated the presence of the flavonoid quercetin 3-β-D-glucoside in all the species of Cuphea amongst other less polar flavonoids in C. aequipetala var. hispida. Cuphea spp. are prospective sources of phenolic compounds",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1615/750
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos","CHROMATOGRAPHIC TECHNIQUES AND THEIR APPLICATION TO STUDIES OF CONFORMATIONAL CHANGES, STABILITY AND REFOLDING OF PROTEINS","The increase in protein applications in various fields; such as medicine, environmental protection and food industry; has generated a special interest in the development of processes for the analyses and purification of proteins. Liquid chromatography has been widely exploited to carry out such analyses because of its versatility. The resolution of protein mixtures by liquid chromatography is based upon specific conditions, in which solutes dissolved in a mobile phase interact with a stationary phase. Depending upon the chemical nature of the type of interactions, there are different chromatographic techniques. This review paper includes the basic principles and main characteristics of the liquid chromatographies used in the analysis of proteins, such as: size exclusion, ion exchange, hydrophobic interaction and reverse phase. Moreover, it shows the applications of such techniques in the study of conformational changes, stability and refolding of proteins. Such research fields have raised attention from research groups in the last decade",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1616/752
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",MONTE CARLO SIMULATION OF ORANGE JUICE PECTINMETHYLESTERASE (PME) INACTIVATION BY COMBINED PROCESSES OF HIGH HYDROSTATIC PRESSURE (HHP) AND TEMPERATURE,"The variability effect of kinetic data was investigated by simulating orange juice pectinmethylesterase (PME) inactivation with combined processes of high hydrostatic pressure-temperature (100-500 MPa; 20-40◦C), applying the Monte Carlo method. Parameters from an Eyring-Arrheniius model that predicts the kinetic inactivation constant (k) as a function of both pressure and temperature were found reported in literature and considered for the analysis. The kinetic analysis was carried out with both Monte Carlo simulations and the traditional deterministic approach, which only considers mean values and does not take into account data variability. Simulations with the Monte Carlo method demonstrated that residual PME activity predicted with deterministic calculations greatly differed from those obtained through confidence intervals of simulated probabilistic distributions. Mean values overrated residual enzyme activity from 4% to ≈ 2, 800% when compared to the 95% confidence intervals generated with the Monte Carlo method. This divergence augmented as both applied pressure and temperature levels increased. Similar risk analysis projects can be further developed to establish the foundations for future food processing regulations of enzymatic contro",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1579/738
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",EFFECT OF PULSED ELECTRIC FIELDS ON THE STRUCTURE OF BOVINE α-LACTALBUMIN,"Pulsed electric field (PEF) processing is a non-thermal method of food preservation that uses short bursts of electricity for enzyme and microbial inactivation causing minimal effect on food quality. The purpose of this work was to apply PEF to induce structural changes in bovine α-lactalbumin (α-LA). The treatments were performed in an electroporator with field intensities of 4.5, 9 and 10 kV/cm, using 2, 4 and 10 square wave pulses and a 0.2 Hz frequency. Changes were evaluated in PEF-treated protein solutions buffered at pH values of 3, 7 and 10. ANS fluorescence analysis indicated that the higher the field intensity and number of pulses, the higher the protein hydrophobicity. PEF induced moderate changes in the protein secondary and tertiary structure as determined by circular dichroism. These results indicate that PEF can induce non-denaturing changes in the structure of proteins such as α-LA with the possibility of generating beneficial changes in their functional properties for specific food uses.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1585/742
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",OXIDATIVE DESULFURIZATION OF DIBENZOTHIOPHENES USING VOX/ZrO2-Al2O3,"Vanadium oxide catalysts were prepared by incipient wetness impregnation of ammonium metavanadate on a zirconia-alumina mixed oxide with different vanadium loading (8, 10 and 15 wt.% of V), in order to increase the performance in oxidative desulfurization (ODS) of dibenzothiophene compounds, using H2O2or tert-butyl hydroperoxide as oxidant. In addition, the catalyst with 15% of V was modified creating vanadium oxides partially reduced. The oxidation states and reducibility of vanadium catalysts were studied by temperature-programmed reduction (TPR). The catalysts were characterized by scanning electron microscopy (SEM-EDX) and X-ray diffraction (XRD). Catalytic performance was discussed in terms of vanadium species prevailing on the catalysts, which increase the reactivity of refractory HDS compounds present in diesel fuel (DBT, 4-MDBT, and 4,6-DMDBT).",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1619/753
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",N-HEPTANE ISOMERIZATION OVER Pt/TUNGSTATED ZIRCONIA CATALYSTS,"Platinum supported on tungstated zirconia catalysts were synthesized and evaluated in the n-heptane isomerization reaction. The catalysts were synthesized by surfactant-assisted coprecipitation with recirculation and without recirculation. The synthesis of the catalysts and the characterization results by High resolution transmission electron microscopy (HRTEM), X-ray diffraction and Laser Raman spectroscopy are presented, as well as the results for the catalytic evaluation at different reaction conditions. This work suggests that cracking products were formed mainly of bi-branched isomers of n-heptane and they were favored at high reaction temperatures. Finally, it was observed that use of the catalyst synthesized by reflux decreased the cracking activity, improving the selectivity to higher octane isomers.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1620/754
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",EFFECTS OF SOLVENT AND INHIBITION OF QUINOLINE IN THE HYDRODESULFURIZATION OF DIBENZOTHIOPHENE,"In order to consider some drawbacks that avoid obtaining diesel and gasoline with ultra-low sulfur concentration, inhibition by quinoline and solvent effects on dibenzothiophene (DBT) hydrodesulfurization (HDS) were evaluated in this work. Reaction results without quinoline indicated that solvents such as: n-heptane (gasoline model) and n-hexadecane (diesel model) affected the reaction rate. According to a Langmuir-Hinshelwood model, KDBT =Ksolvent values showed that adsorption of DBT on the catalyst was more important than that of the solvent. This solvent/DBT competition for the active sites on the catalyst was more notorious in the gas phase (n-heptane) than in the liquid phase (hexadecane) reactions. Furthermore, selectivity depended on the solvent: direct desulfurization pathway was favored in n-hexadecane. The inhibition factor data indicated that quinoline inhibition was similar for both solvents. The rate of Dibenzothiophene hydrodesulfurization was affected mainly by quinoline inhibition, regardless of the phase at which the reaction took place.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1628/761
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",Ni-MORDENITE SYSTEM: INFLUENCE OF SiO2/Al2O3 MOLAR RATIO ON THE CATALYTIC ACTIVITY IN NO REDUCTION,"Mordenites with SiO2/Al2O3molar ratio (MR) of 13, 20 and 90 were exchanged with a Ni2+. The samples were characterized by XRD, EDS, DRS and TEM. UV-Vis spectra of all Ni-exchanged samples were typical for a Ni(H2O)2+6ions octahedrally coordinated by water molecules. In the UV range, samples with MR of 20 and 90 showed absorption around 250-300 nm due to partial dehydration on Ni2+ions and their coordination with O2-of the zeolite framework. It was revealed that Ni species formed on mordenite NiNaMor13 with low molar ratio are weakly bound to the mordenite framework; as a consequence, high catalytic activity in NO reduction is observed. Easy red-ox transformation of such a species results in the activation of propene pyrolysis with formation of carbon nanostructures.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/1629/762
