Titulo de revista,Área,Temática,Titulo del libro,Abstract,Resumen,Link inicial,Link articulo
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",SUBSTRATE REGULATION IN FIXED BED BIOREACTORS VIA FEEDBACK CONTROL,"The main issue of this work is the synthesis of robust nonlinear PID control law for the regulation of the outlet substrate concentration in a distributed parameter system, a fixed bed bioreactor. The controller design is realised at outlet reactor conditions via a linearising control law, which is coupled with a proportional-derivative reduced order observer. Therefore, it is possible to infer on-line the unknown kinetic terms. Controller structure is analogous to PID structure, where novel tuning rules are given in terms of the system structure and estimation and closed-loop time constants. This control strategy is robust against noisy substrate concentration measurements, sustained disturbances and model uncertainties. Performance of the outlet substrate concentration in the fixed bed bioreactor is compared, by means of numerical simulations, when the proposed control scheme and standard PID controllers are used.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2124/1109
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",DESIGN AND CONTROL OF THERMALLY COUPLED DISTILLATION SEQUENCES,"In this work we present an analysis of the design and control of thermally coupled distillation sequences with side columns. It is found that the energy consumption depends strongly on the interconnecting stream between the columns in the integrated distillation sequence. Regarding the dynamic responses, it is concluded that these can be improved by operating the sequence with a flow of interconnection above the optimum value. As a result, the dynamic responses can be improved significantly through the operation at energy demands slightly different from the optimum.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2127/1110
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",THERMO-HYDRAULIC DESIGN OF PLATE AND FRAME HEAT EXCHANGERS IN SINGLE AND MULTI-PASS ARRANGEMENT,"An alternative approach for the preliminary thermo-hydraulic design of single phase plate and frame heat exchangers is presented. Plate length is taken as a continuous variable through which full utilization of available pressure drop for design is achieved. Complex arrangements or multipass arrangements, are a combination of counter flow and parallel flow for which a correction factor for the log mean temperature difference is needed. A model that allows the calculation of this correction factor is developed as a function of the NTU parameter",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2128/1111
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",THE APPLICATION OF ONTOLOGIES IN THE RETROFIT OF CHEMICAL PROCESSES,"Continuous changes in markets and in technical/economical requirements make necessary to adapt the industrial processes to the new regulations. The retrofit is a methodology of analysis and evaluation of possible changes in a process in order to improve it with respect to some metrics. Due to the complexity of the retrofit of processes, CAPE (Computer Aided Process Engineering) systems must be developed and used. These tools can be improved by employing a common terminology (i.e., ontology) to integrate the existing knowledge. In this paper we present an introduction to the ontologies and its application in Chemical Engineering. In particular we present OnReP (Ontology for the Retrofit of Processes), which is part of a retrofit methodology. This ontology seeks to facilitate the handling of information in a design/retrofit context.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2129/1112
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",ON-LINE MONITORING OF A BIOLOGICAL PROCESS FOR WASTEWATER TREATMENT,"In this work, the problem of on-line monitoring of the pollutant concentrations is tackled in two biological reactors in series for industrial and municipal wastewater treatment. For this purpose, a software sensor is designed for on-line estimation of the pollutant concentrations, mainly for ammonia and biodegradable substrate. First, a reduced process model is developed with approximated parameters. Then the software sensor, consisting of a model-based state estimator to infer the (unmeasured) concentrations, is constructed based on the reduced process model and considering only on-line measurements of dissolved oxygen and nitrate concentrations. The software sensor performance is tested by comparison with the dynamic behavior of a detailed simulated plant (in a commercial software: GPS-X®, Hydromantis) that represents the “experimental” process, obtaining good estimated concentrations. The simulated plant was previously tuned with experimental data collected from the Tecnocasic (Cagliari, Italy), which collects industrial and municipal wastewater.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2130/1113
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",MINLP SYNTHESIS OF HEAT EXCHANGER NETWORKS INCLUDING DIFFERENT EXCHANGER TYPES AND PRESSURE DROP EFFECTS,"In this paper we extend the simultaneous optimization approach for the design of heat exchanger networks. The MINLP model developed by Yee and Grossmann (Comput. Chem. Eng. 14 (1990) p. 1165) has been modified to consider power costs and pressure drop effects as well as to incorporate alternative exchanger types and flow patterns. Such incorporations not only require additional constraints to provide feasible temperature distributions but also increase the combinatorics, size and computational effort needed to solve the problem. However, it is shown that a formulation based on the convex hull representation for heat transfer area, pressure drop, correction factors (for pressure drop and temperature) and temperature approach, drastically reduces both the nonlinearities and the number of optimization variables involved. The resulting model can be solved by using DICOPT++ through the GAMS modeling environment. Finally, three examples are used to illustrate the scope and relevance of the approach.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2133/1116
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",DESIGN FOR OPERABILITY: A REVIEW OF APPROACHES AND SOLUTION STRATEGIES,"In the last decades the chemical engineering scientific research community has largely addressed the design-foroperability problem. Such an interest responds to the fact that the operability quality of a process is determined by design, becoming evident the convenience of considering operability issues in early design stages rather than later when the impact of modifications is less effective and more expensive. The necessity of integrating design and operability is dictated by the increasing complexity of the processes as result of progressively stringent economic, quality, safety and environmental constraints. Although the design-for-operability problem concerns to practically every technical discipline, it has achieved a particular identity within the chemical engineering field due to the economic magnitude of the involved processes. The work on design and analysis for operability in chemical engineering is really vast and a complete review in terms of papers is beyond the scope of this contribution. Instead, two major approaches will be addressed and those papers that in our belief had the most significance to the development of the field will be described in some detail",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2135/1117
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",DELAY SYSTEMS REGULATION BY AN APPROXIMATE DISCRETE APPROACH: APPLICATION TO RECYCLE SYSTEMS,In this work it is analyzed the regulation problem for a class of linear time invariant systems with time delays at the input signal and at the state and it is considered in particular the case of the recycle systems. It is proposed a methodology intended to obtain a discrete representation (approximate) of the original continuous system. By considering the discrete model it is presented a pole placement control scheme which is applied to the continuous time model. The performance of the proposed scheme is shown by means of digital simulations over a recycle system,,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2137/1118
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",LINEAR PROGRAMMING MODEL TO ASSIST THE DESIGN OF DISTRIBUTED WASTEWATER TREATMENT SYSTEMS,"One of the procedures available for the synthesis of distributed wastewater treatment networks is based on an extension of the concepts and methodology derived from heat recovery pinch technology. The minimum flowrate target and the design of a wastewater treatment subnetwork are obtained within the pinch technology methodology in a sequential manner in two different steps. In this paper a linear programming model is presented for targeting and design of distributed effluent treatment systems. For the development of the linear programming model, a singletreatment unit basic network superstructure is established in order to remove the mass load of a given contaminant. The linear programming model can be used to target minimum treatment flowrates within the pinch point methodology. Besides producing the minimum flowrate target, the optimal solution of the presented linear programming model establishes the best subnetwork structure for the removal of a given contaminant. The proposed linear programming model can easily incorporate constraints derived from pinch technology to facilitate the design process. The design rules and constraints that can be incorporated include, for instance, the enforcement of total, partial or no treatment at all for a subset of wastewater streams, maximum allowable contaminant concentration at the inlet of treatment plants, maximum or minimum treatment flowrate through treatment processes, and other. The linear programming model generates a global optimal design for each of the wastewater treatment subnetworks.Two examples illustrate the use of the proposed linear programming model.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2139/1119
Revista Mexicana de Ingeniería Química,VII. Ingenierías,"Ingeniería Química y sus interfaces con otras disciplinas de la Ingeniería: Termodinámica Catálisis, Cinética y Reactores; Simulación y Control; Fenómenos de Transporte; Seguridad; Ingeniería de Procesos; Biotecnología; Ingeniería de Alimentos",HISTORICAL-FORECAST FAILURE ANALYSIS THROUGH ITS ENVIRONMENT: AN APPROACH WITH PROBIT/LOGIT TECHNIQUES AND DISCRETE STOCHASTIC CONTROL,"The principal goal of this work is to obtain one failure probability estimation from an indirectly manner, i.e., from a set of variables or profile system we can establish one environment of the pipeline dsitribution system -or module-. Specially, we are interesting in the prime of life more than in first years of the system. The secondary objective in section 2 is to make a reliability analysis, in this procedure we are building one stochastic approach based on one set of parameters wichs are computed from historical data in order to obtain a forecast analysis. Finally, we construct an on-line method in section 9. In this paper we obtain the optimal policy related to the optimal reliability index in the prime of the life. In other words, we obtain value function and its reliability index of the system. In order to emphasize this parameters estimate problem by means of historical data we construct one discrete scheme. In this way one discrete procedure enables us to obtain the value of investment together with reliability indexes (the frecuency of failure, the operation expected time and the not availability index). This kind of concepts leads us to believe that the operation index and, consequently, we have anticipated and detected every eventuality and critical behavior states of the system. The main goal is to call the machine operator in order to return to the normal and adequate operation state. It has main advantage of being near to the practice and this procedure can generate a discrete technique in order to construct, in an explicit manner, one cost function. Present method takes in to account natural association between financial and technical aspects in order to make a decision related to the maintenance of the complete system or some components when it is suffering from a serious failure.",,http://www.rmiq.org/ojs311/index.php/rmiq/issue/view/65,http://www.rmiq.org/ojs311/index.php/rmiq/article/view/2140/1120
