Titulo de revista,Área,Temática,Titulo del libro,Abstract,Resumen,Link inicial,Link articulo
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Modelo de depósito de la Formación Cerro Lisandro: lóbulos de desembocadura y deltas de tipo Gilbert. Cretácico superior, región central de cuenca Neuquina, Argentina",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/247/237
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Tafonomía del titanosaurio Aeolosaurus colhuehuapensis, Cretácico Superior, Patagonia central, Argentina: un ejemplo de preservación en facies fluviales de desbordamiento","Rests of Aeolosaurus colhuehuapensis, a titanosaur from the Colhué Huapi lake, in the southern Chubut Province, Argentina, were analyzed. The materials under study include twenty one caudal vertebrae and seven haemal arches. They were recovered articulated in overbank facies related to deposits of multi-channel fluvial systems of high sinuosity in the informally called “strata of the Colhué Huapi lake” of CampanianMaastricthian age. These systems displayed important seasonal fluctuations in the paleodischarge and they were encompassed in a semi-arid climate. The taphonomic history was inferred from the analysis of several taphonomic characteristics present in the bones and macro- and microscopic sedimentologic observations. The presence of tenuous longitudinal striation, the absence of bone exfoliation, the articulate condition of the materials and the dorsal bow of the caudal series, support a short period of subaerial exposure with a rapid burial episode. The absence of abrasion marks in the materials indicates that they had scarce or null transport; therefore, they could be considered as autochthonous. The dorsal bow of the tail shows an opisthotonus posture, also exhibited by some theropod and sauropod dinosaurs, but undocumented in the Chubut Group. The recent fluctuant climatic conditions, with variations of extreme humidity and drought, strongly affected the preservation of the materials.",,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/248/238
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"La Formación Zicapa del sur de México: revisión estratigráfica, sedimentología y ambientes sedimentarios",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/249/239
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Profundidad de la base de la fuente magnética y estructura térmica del Golfo de México,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/250/240
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Pb, Sr, and Nd isotopic characteristics of a variety of lithologies from the Guerrero composite terrane, west-central Mexico: constraints on their origin","Lead, Sr, and Nd isotope analyses of Mesozoic and Cenozoic rocks from the southern part of Guerrero terrane in Mexico provide a better understanding of their origin. Metamorphic rocks collected south of Arteaga (Zihuatanejo terrane) have similar Pb isotope values to basement rocks from Nevado de Toluca, indicating a possible connection of the basement in these areas. Lead isotope ratios of rocks from the Mesozoic Guerrero and Paleozoic Mixteca terranes are similar to those of north Peruvian Mesozoic Olmos and Paleozoic Marañón complexes, but more radiogenic than Grenville-age basement of southeast Mexico (Guichicovi complex) and north Colombia (Garzón massif and Santa Marta massif).",,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/251/241
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,Study of Cedral Horses and their place in the Mexican Quaternary,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/252/242
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Sistemas de flujo subterráneo y contenido de fluoruro en el agua de Tenextepango, Morelos, México",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/253/243
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Late Pleistocene vertebrates from Touro Passo Creek (Touro Passo Formation), southern Brazil: a review",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/254/244
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Dietary resource partitioning in the Late Pleistocene horses from Cedral, north-central Mexico: evidence from the study of dental wear",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/255/245
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Dietary resource partitioning in the Late Pleistocene horses from Cedral, north-central Mexico: evidence from the study of dental wear",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/256/246
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,On the significance of magnetic anomalies from the Baja California Peninsula: its relationship with IOCG deposits and the deep crustal magnetic layer,This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/257/247
Revista Mexicana de Ciencias Geológicas,I. Físico Matemáticas y Ciencias de la Tierra,Geociencias,"Erratum to Late Paleozoic fusulinids from Sonora, México: Importance for interpretation of depositional settings, biogeography, and paleotectonics",This work is licensed under aCreative Commons Attribution-NonCommercial 4.0 International License.,,http://rmcg.geociencias.unam.mx/,http://rmcg.geociencias.unam.mx/index.php/rmcg/article/view/258/248
