Titulo de revista,Área,Temática,Titulo del libro,Abstract,Resumen,Link inicial,Link articulo
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.",,,,http://cienciaspecuarias.inifap.gob.mx,
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.",Efecto de la temperatura del agua sobre la constante de velocidad de reacción de los contaminantes en un humedal construido para el tratamiento de aguas residuales porcícolas,,"ResumenLa temperatura es un factor importante en los procesos que se llevan a cabo en los sistemas biológicos. En los humedales la capacidad de remoción de contaminantes está delimitada por factores ambientales. El objetivo fue determinar el efecto de la temperatura del agua sobre la constante de velocidad de reacción de contaminantes en un humedal de flujo superficial construido (HFSC) para la remoción de contaminantes en aguas residuales porcícolas. El HFSC consistió en un canal de 9 m de longitud por 3 m de ancho, recubierto con geo-membrana de alta densidad (4 mm). El lecho del HFSC consistió en una capa de 30 cm de arena y arcilla, con vegetación nativa del área de estudio. Se llevaron a cabo 12 corridas experimentales entre enero de 2014 y diciembre de 2015, con un tiempo de retención hidráulico (TRH) de 10 días. La remoción promedio de la demanda química de oxígeno (DQO) fue de 75 y 74 %,  el promedio de remoción de nitrógeno (amonio) NH3-N de 65 y 69 %, mientras que el nitrógeno total (NT) presentó promedio de remoción de 69 y 63 %, mientras que la remoción del fósforo total (PT) presentó valores de 75 y 73 % en 2014 y 2015 respectivamente. La temperatura del agua durante la fase experimental osciló entre 13 y 22 °C. La remoción del NH3-N mostró la mayor dependencia de la temperatura del agua con valores deR2=0.8787 en 2014 yR2=0.8957 en 2015. La constante de reacción volumétrica (kvd-1) en 2014 osciló de 0.041 a 0.185 d-1con una temperatura promedio en el humedal de 13 a 21 °C. Mientraskpresentó un valor promedio de 2.60 cm d-1en 2014, y en 2015 el valor obtenido fue de 3.22 cm d-1. Fue evidente que el valor dekvaumentó conforme la temperatura del agua se incrementó, lo cual indica que este factor tiene un efecto directo en la remoción del NH3-N.",http://cienciaspecuarias.inifap.gob.mx,https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/view/4681/4263
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.","Estimación de la producción de metano entérico en ranchos de producción familiar de leche bovina en el sur del estado de Querétaro, México",,"ResumenEl objetivo fue estimar el factor de emisión (FE) de metano (CH4) y pérdidas diarias de energía bruta (EB) convertida en CH4(PCH4), por medio de ecuaciones de predicción del método nivel 2 del Panel Intergubernamental de Cambio Climático (IPCC) y con base en información técnica de ranchos del sistema familiar de producción de leche bovina. El estudio se realizó en 10 establos, y se obtuvo información técnica, tipo y cantidad de ingredientes ofrecidos al hato durante tres visitas en diferentes meses del año. La información técnica, junto con análisis de laboratorio del contenido de materia seca (MS) y EB de los ingredientes muestreados, se usó para estimar el consumo de MS y EB; usando la metodología del IPCC se estimó el FE y PCH4. Las mismas variables fueron estimadas usando las ecuaciones de predicción del IPCC. En vacas en ordeña el FE (81 y 70, kg CH4año-1) y PCH4(2.95 y 2.56, Mcal día-1) usando las ecuaciones del IPCC fueron similares a las obtenidas con las observaciones en ranchos; el FE ponderado por rancho fue similar (49.06 y 54.09, kg CH4año-1), pero la PCH4fue menor (1.11 y 1.97, Mcal día-1P<0.01) usando las ecuaciones del IPCC con relación a las observaciones en ranchos. En general, a través del uso de información técnica de los ranchos fue posible estimar el FE y evidenciar una mayor PCH4por rancho, y, en consecuencia, menor eficiencia energética, con respecto a la metodología del IPCC.",http://cienciaspecuarias.inifap.gob.mx,https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/view/4685/4261
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.",Efecto del calentamiento global sobre la producción de alfalfa en México,,"ResumenLa alfalfa es el principal cultivo forrajero en México en cuanto a superficie sembrada con 583,561 ha, lo que representa 57.1 %, mientras que los cultivos forrajeros maíz, avena y sorgo representan el 42.9 %. El objetivo de este estudio fue estimar el impacto del calentamiento global como resultado del cambio climático, con base en escenarios climáticos futuros, sobre la producción de alfalfa en áreas potenciales en condiciones de riego en México. Para ello, anomalías de temperatura y precipitación del período 2021-2080 fueron usadas. Las anomalías se estimaron con un ensamble de 11 modelos de circulación general. Las áreas con potencial productivo de alfalfa se estimaron al considerar clima de referencia y escenarios climáticos futuros enfocados a dos rutas representativas de concentración (RCP) de gases de efecto invernadero (GEI). Los resultados sugieren incremento de la temperatura y su influencia sobre la reducción de las áreas con potencial productivo alto, situación que se agrava conforme se avanza hacia el futuro, con una reducción de 24.7 % en el año 2070 en la RCP 4.5 con respecto al clima de referencia. Resultados similares, pero con mayor disminución en la superficie con potencial productivo se encontraron en la RCP 8.5. Un efecto diferenciado fue estimado dependiendo de la región de cultivo. Debido a su alta demanda de agua, el cultivo de alfalfa puede ser sustituido por otros cultivos menos demandantes como maíz. Los resultados podrían utilizarse en el diseño de estrategias para adaptar el cultivo a los efectos del cambio climático en las áreas productoras de alfalfa.",http://cienciaspecuarias.inifap.gob.mx,https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/view/4686/4259
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.",Áreas con aptitud ambiental para [Bouteloua curtipendula (Michx.) Torr.] en México por efecto del cambio climático,,"ResumenLas áreas de pastizal están expuestas a los efectos del cambio climático que se presentarán en las siguientes décadas, lo que provocará cambios en las comunidades vegetales, modificando a su vez los servicios y productos. La influencia del clima como determinante de la productividad primaria en los ecosistemas ha llevado a la realización de estudios para evaluar el impacto del cambio climático en comunidades vegetales mediante el uso de modelos de simulación. Las especies del géneroBoutelouaestán entre las más importantes en los pastizales de México, por su calidad forrajera y sus características ecológicas; entre ellas sobresale el zacate Banderita [Bouteloua curtipendula(Michx.) Torr.]. El objetivo del presente estudio fue delimitar las áreas con aptitud ambiental deB. curtipendulapor efecto del cambio climático en México. El análisis del clima futuro se hizo con los modelos de circulación general (MCG) HadGEM-ES y GFDL-CM3, con los rcp 4.5 y 8.5, para los periodos 2041-2060 y 2061-2080; para modelar los nichos potenciales de distribución se usaron datos de 407 sitios georreferenciados de colecta y 29 variables ambientales; mediante el modelo MaxEnt ambos MCG pronostican que el área con aptitud ambiental paraB. curtipendulatendrá una disminución inicial entre 3.1 a 14.4 %, aunque después se recuperará e incluso aumentará hasta un 1.4 %. Las variables ambientales que más contribuyeron a explicar la distribución potencial de la especie fueron la altitud, el índice de humedad y la precipitación acumulada estacional de diciembre a febrero.",http://cienciaspecuarias.inifap.gob.mx,https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/view/4693/4251
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.","Efecto en la erosión hídrica del suelo en pastizales y otros tipos de vegetación por cambios en el patrón de lluvias por el calentamiento global en Zacatecas, México",,"ResumenPara evaluar la erosión hídrica se utilizaron anomalías de temperatura y precipitación para el período 2021-2080, estimadas con un ensamble de 11 modelos de circulación global, para generar mapas de temperatura y precipitación futuras a partir de la climatología de referencia 1961-2010. En el caso del estado de Zacatecas el área de pastizal presenta valores promedio actuales de erosión del orden de 16.3 t/ha, estimadas mediante el modelo RUSLE. En otros tipos de vegetación o usos del suelo como es el matorral, bosque o el área agrícola se generan valores aún mayores (50.74, 65.99, 161.39, t/ha/año, respectivamente). La aplicación del modelo ensamble en las RCP 4.5 y RCP 8.5 indica que habrá un incremento en la temperatura y una disminución de la lluvia. En un escenario de menor efecto de calentamiento global (RCP 4.5) se espera una reducción gradual de erosión hídrica del pastizal respecto a 2010 de 2.3 % en 2030 (15.67 t/ha/año) hasta un 5.88% (15.18 t/ha/año) en 2070. En el mismo periodo hasta 2070, la tasa de decremento de erosión hídrica es de 14.1 kg/ha/año. La RCP 8.5, que fue diseñada para una condición de continua emisión de gases de invernadero, presenta valores de reducción aún mayores y para 2070 establece una disminución del 13.0 %, con una tasa de disminución de erosión de 31.5 kg/ha/año. Otros tipos de vegetación y uso del suelo mostraron la misma tendencia de disminución, aunque en tasas de decremento más altas. Aunque el escenario de disminución de erosión hídrica parece favorable, no se descarta un incremento de valores de pérdida de suelo por efecto de erosión eólica en las regiones áridas del norte del estado de Zacatecas. La valoración de niveles de erosión hídrica contribuye al ordenamiento del uso del suelo para reducir niveles de degradación y desertificación.",http://cienciaspecuarias.inifap.gob.mx,https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/view/4694/4257
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.","Estimación del factor de transporte del índice de fósforo con climatologías y escenarios de cambio climático en tierras de Jalisco, México",,"ResumenEl índice de fósforo (IP) es una herramienta de planeación para identificar los campos agrícolas o ganaderos con potencial de aporte de fósforo para los cuerpos de agua y distinguir prácticas de manejo de nutrientes que favorecen este proceso. El factor de transporte del IP (FTIP), tiene implícito elementos no controlables del ambiente, como la lluvia, la cual da incertidumbre a la agricultura y es favorecido por el proceso de cambio climático actual. En México pocos estudios se han realizado con el FTIP, por lo que el objetivo del presente trabajo fue aplicar la metodología de cálculo para el FTIP e identificar áreas vulnerables a la pérdida de fósforo de las tierras a los cuerpos de agua en dos escenarios de cambio climático y tres climatologías de Jalisco. Se utilizó el modelo de IP de Gburek, aplicado en dos rutas representativas de concentración de gases efecto invernadero (RCP 4.5 y 8.5), con las climatologías 2030, 2050 y 2070, y 2010 como línea base. En el cálculo del FTIP se utilizaron ARCGIS y GIS IDRISI. Los resultados mostraron niveles de vulnerabilidad a la pérdida de fósforo de muy bajo a alto en la línea base, mientras en el RCP4.5 se calificó el FTIP como muy bajo a medio y en la RCP8.5 fue de muy bajo a alto. Un elemento que resultó sobresaliente en el FTIP fue la alta vulnerabilidad de los predios con poca distancia a la red de drenaje o cuerpo de agua.",http://cienciaspecuarias.inifap.gob.mx,https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/view/4704/4255
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.",Impacto del cambio climático en la distribución potencial de Tithonia diversifolia (Hemsl.) A. Gray en México,,"ResumenEl objetivo fue estimar el posible impacto del cambio climático en la distribución potencial deT. diversifoliaen México. Nichos de distribución fueron modelados con MaxEnt para la climatología de referencia 1951-2000, y dos escenarios de cambio climático 2041-2060 y 2061-2080, considerando 20 variables bioclimáticas y dos topográficas. Para las climatologías futuras se consideró el modelo de circulación global (MCG) HadGEM2-ES, con dos vías representativas de concentración de gases efecto invernadero (rcp4.5 y rcp8.5). Esta información se obtuvo de la página web Global Climate Data de WorldClim y se trabajó con el sistema Idrisi Selva como imágenes raster con una resolución de 2.5 min de arco. Las variables que más contribuyeron a explicar la distribución geográfica deT. diversifoliafueron la precipitación acumulada mayo-octubre (pa5-10) y la temperatura máxima media del mes más cálido (txmc). El umbral del percentil 10th de la presencia logística predice una superficie (para la climatología de referencia 1951-2000), que representa el 30.71 % de la extensión de México. La modelación de nichos en los diversos escenarios climáticos registra zonas de expansión, así como zonas de retracción para la distribución potencial de la especie, pero después de hacer un balance, se obtiene que las áreas potenciales paraT. diversifoliase incrementarán ligeramente con respecto a la climatología de referencia 1950-2000, con valores estimados de 31.62 %, 31.83 %, 32.45 % y 32.45 % del territorio mexicano en los escenarios 2041-2060 rcp8.5, 2041-2060 rcp4.5, 2061-2080 y 2061-2080 rcp4.5  y rcp8.5, respectivamente. Se concluye que el cambio climático traería más beneficios que restricciones para la dispersión deT. diversifolia.",http://cienciaspecuarias.inifap.gob.mx,https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/view/4705/4253
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.",Mitigación y adaptación al cambio climático mediante la implementación de modelos integrados para el manejo y aprovechamiento de los residuos pecuarios. Revisión,,"ResumenLa optimización del manejo y utilización de las excretas, se debe a que las especies animales no aprovechan el 100% de los nutrientes consumidos del alimento, siendo la excreta una fuente potencial de éstos. La cantidad y calidad de la excreta depende de factores como el alimento, especie animal, etapa productiva, estado de salud y tipo de instalaciones. Los modelos integrados para manejo de residuos pecuarios, deben considerar la revalorización de éstos como materia prima, con objeto de desarrollar tecnologías que habiliten la recuperación de nutrientes. El ensilaje de cerdaza, la composta, vermicomposta y los sistemas de digestión anaerobia forman parte de estos esquemas. Por otro lado, la importancia de la bio-remediación radica en la utilización del potencial metabólico de los microorganismos para transformar los contaminantes orgánicos, pudiéndose utilizar para limpiar espacios o aguas contaminadas. La estrategia de adopción tecnológica se diseña y se inicia a través de establecer las características del material a tratar, su acondicionamiento y las condiciones de operación del proceso, para seleccionar los criterios y métodos para su escalamiento en cualquier sistema de producción.",http://cienciaspecuarias.inifap.gob.mx,https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/view/4697/4267
Revista Mexicana de Ciencias Pecuarias,VI. Biotecnología y Ciencias Agropecuarias,"Inmunología, Microbiología, Epidemiología, Parasitología, Reproducción, Genética, Nutrición, Apicultura, Socioeconomía, Forrajes y Pastizales, Inocuidad.",Causas y consecuencias del cambio climático en la producción pecuaria y salud animal. Revisión,,"ResumenLa acumulación de gases de efecto invernadero en la atmosfera terrestre está ocasionando un cambio climático sin precedentes con graves implicaciones como, fenómenos meteorológicos extremos, cambios en la función y composición de los ecosistemas con la subsecuente diseminación o incremento de prevalencia de distintas enfermedades que afectan al hombre y a los animales. Debido a su importancia resulta relevante analizar el impacto del cambio climático en los sistemas de producción pecuarios, si se analiza la producción agropecuaria como un sistema en el que confluye lo social, ambiental y económico, los efectos del mismo tendrán un impacto directo en la organización social de las unidades de producción, en la seguridad alimentaria y en la salud animal/humana. Un área que requiere especial atención es precisamente la salud animal, la emergencia y reemergencia de enfermedades vectoriales en numerosas regiones del planeta constituye un claro ejemplo de asociación entre cambio climático y efectos sobre la interfaz de la salud humana/animal, las afectaciones a la salud animal pueden obedecer a múltiples factores sociales y medioambientales provocando las llamadas “enfermedades de la producción”, estos factores influencian la aparición de enfermedades emergentes, sin embargo, cada región y cada sistema de producción tiene sus propias vulnerabilidades, estos aspectos deben tomarse en cuenta para diseñar mapas de riesgos locales y regionales; así como diseñar, instrumentar y socializar eficientemente procesos de manejo de riesgos ante enfermedades.",http://cienciaspecuarias.inifap.gob.mx,https://cienciaspecuarias.inifap.gob.mx/index.php/Pecuarias/article/view/4742/4265
